data;aquisicao_imob
2014-04-30;270,76
2014-05-31;278,11
2014-06-30;284,82
2014-07-31;291,96
2014-08-31;298,69
2014-09-30;304,00
2014-10-31;311,39
2014-11-30;318,00
2014-12-31;325,03
2015-01-31;331,48
2015-02-28;335,71
2015-03-31;341,75
2015-04-30;348,66
2015-05-31;353,07
2015-06-30;354,64
2015-07-31;357,46
2015-08-31;359,44
2015-09-30;360,95
2015-10-31;364,37
2015-11-30;366,79
2015-12-31;370,12
2016-01-31;371,60
2016-02-29;381,35
2016-03-31;384,11
2016-04-30;384,67
2016-05-31;387,63
2016-06-30;390,10
2016-07-31;393,50
2016-08-31;397,58
2016-09-30;400,73
2016-10-31;398,32
2016-11-30;400,64
2016-12-31;405,45
2017-01-31;405,42
2017-02-28;411,39
2017-03-31;414,22
2017-04-30;417,55
2017-05-31;421,26
2017-06-30;444,22
2017-07-31;449,18
2017-08-31;452,48
2017-09-30;455,02
2017-10-31;456,84
2017-11-30;459,44
2017-12-31;461,71
2018-01-31;461,42
2018-02-28;464,96
2018-03-31;467,75
2018-04-30;469,91
2018-05-31;472,64
2018-06-30;475,57
2018-07-31;478,14
2018-08-31;480,64
2018-09-30;482,68
2018-10-31;485,51
2018-11-30;488,42
2018-12-31;491,70
2019-01-31;545,74
2019-02-28;550,40
2019-03-31;552,63
2019-04-30;554,70
2019-05-31;557,06
2019-06-30;561,07
2019-07-31;563,73
2019-08-31;564,93
2019-09-30;568,68
2019-10-31;572,64
2019-11-30;576,10
2019-12-31;578,99
2020-01-31;580,34
2020-02-29;583,08
2020-03-31;586,29
2020-04-30;591,84
2020-05-31;597,83
2020-06-30;602,88
2020-07-31;609,54
2020-08-31;616,88
2020-09-30;623,99
2020-10-31;631,30
2020-11-30;638,87
2020-12-31;646,90
2021-01-31;652,30
2021-02-28;658,90
2021-03-31;667,85
2021-04-30;676,17
2021-05-31;685,41
2021-06-30;694,60
2021-07-31;703,61
2021-08-31;718,50
2021-09-30;727,57
2021-10-31;735,77
2021-11-30;745,62
2021-12-31;753,97
2022-01-31;759,55
2022-02-28;765,73
2022-03-31;771,74
2022-04-30;778,62
2022-05-31;787,32
2022-06-30;796,81
2022-07-31;806,93
2022-08-31;815,37
2022-09-30;830,68
2022-10-31;833,56
2022-11-30;841,99
2022-12-31;851,19
2023-01-31;857,96
2023-02-28;864,08
2023-03-31;873,88
2023-04-30;880,75
2023-05-31;887,09
2023-06-30;893,80
2023-07-31;900,54
2023-08-31;907,14
2023-09-30;915,07
2023-10-31;921,61
2023-11-30;927,67
2023-12-31;936,58
2024-01-31;939,49
2024-02-29;944,71
2024-03-31;946,43
2024-04-30;953,17
2024-05-31;962,38
2024-06-30;971,58
2024-07-31;979,45
2024-08-31;989,01
2024-09-30;997,53
2024-10-31;1004,45
2024-11-30;1011,20
2024-12-31;1015,06
2025-01-31;1022,61
2025-02-28;1034,72
2025-03-31;1039,83
2025-04-30;1047,08
2025-05-31;1054,28
2025-06-30;1058,99
2025-07-31;1058,14
