data;Indicador de custo do crédito
2015-10-01;21,15
2015-11-01;21,43
2015-12-01;21,15
2016-01-01;21,52
2016-02-01;21,87
2016-03-01;22,01
2016-04-01;22,22
2016-05-01;22,29
2016-06-01;22,45
2016-07-01;22,49
2016-08-01;22,58
2016-09-01;22,76
2016-10-01;22,91
2016-11-01;22,90
2016-12-01;22,56
2017-01-01;22,84
2017-02-01;22,98
2017-03-01;22,73
2017-04-01;22,46
2017-05-01;22,28
2017-06-01;22,07
2017-07-01;22,07
2017-08-01;21,94
2017-09-01;21,65
2017-10-01;21,74
2017-11-01;21,68
2017-12-01;21,15
2018-01-01;21,33
2018-02-01;21,51
2018-03-01;21,30
2018-04-01;21,28
2018-05-01;21,00
2018-06-01;20,94
2018-07-01;20,78
2018-08-01;20,65
2018-09-01;20,63
2018-10-01;20,74
2018-11-01;20,76
2018-12-01;20,38
2019-01-01;20,70
2019-02-01;20,91
2019-03-01;20,89
2019-04-01;21,11
2019-05-01;21,09
2019-06-01;21,22
2019-07-01;21,19
2019-08-01;21,12
2019-09-01;20,97
2019-10-01;20,88
2019-11-01;20,73
2019-12-01;20,25
2020-01-01;20,13
2020-02-01;20,24
2020-03-01;19,96
2020-04-01;19,68
2020-05-01;19,09
2020-06-01;18,53
2020-07-01;18,12
2020-08-01;17,72
2020-09-01;17,30
2020-10-01;17,15
2020-11-01;16,97
2020-12-01;16,62
2021-01-01;16,89
2021-02-01;17,05
2021-03-01;16,97
2021-04-01;17,04
2021-05-01;17,07
2021-06-01;17,15
2021-07-01;17,16
2021-08-01;17,32
2021-09-01;17,51
2021-10-01;17,82
2021-11-01;18,11
2021-12-01;18,19
2022-01-01;18,81
2022-02-01;19,23
2022-03-01;19,33
2022-04-01;19,77
2022-05-01;20,00
2022-06-01;20,28
2022-07-01;20,64
2022-08-01;20,83
2022-09-01;21,07
2022-10-01;21,39
2022-11-01;21,43
2022-12-01;21,32
2023-01-01;21,73
2023-02-01;22,03
2023-03-01;22,00
2023-04-01;22,31
2023-05-01;22,37
2023-06-01;22,25
2023-07-01;22,18
2023-08-01;22,20
2023-09-01;22,09
2023-10-01;22,03
2023-11-01;21,96
2023-12-01;21,62
2024-01-01;21,85
2024-02-01;21,89
2024-03-01;21,89
2024-04-01;21,91
2024-05-01;21,74
2024-06-01;21,75
2024-07-01;21,70
2024-08-01;21,70
2024-09-01;21,75
2024-10-01;21,66
2024-11-01;21,68
2024-12-01;21,50
2025-01-01;22,03
2025-02-01;22,32
2025-03-01;22,58
2025-04-01;22,88
2025-05-01;22,96
2025-06-01;23,13
2025-07-01;23,19
2025-08-01;23,40
