DateTime;contrucao_imobiliaria
2014-04-30;19,26
2014-05-31;19,59
2014-06-30;19,93
2014-07-31;20,32
2014-08-31;20,70
2014-09-30;21,08
2014-10-31;21,55
2014-11-30;21,98
2014-12-31;22,43
2015-01-31;22,81
2015-02-28;23,16
2015-03-31;23,60
2015-04-30;24,00
2015-05-31;24,41
2015-06-30;24,82
2015-07-31;25,25
2015-08-31;25,65
2015-09-30;26,08
2015-10-31;26,42
2015-11-30;26,80
2015-12-31;27,21
2016-01-31;27,47
2016-02-29;27,73
2016-03-31;28,02
2016-04-30;28,34
2016-05-31;28,59
2016-06-30;28,88
2016-07-31;29,17
2016-08-31;29,47
2016-09-30;29,71
2016-10-31;29,97
2016-11-30;30,02
2016-12-31;30,48
2017-01-31;30,61
2017-02-28;30,93
2017-03-31;31,36
2017-04-30;31,58
2017-05-31;31,85
2017-06-30;32,11
2017-07-31;32,41
2017-08-31;32,72
2017-09-30;32,91
2017-10-31;33,11
2017-11-30;33,43
2017-12-31;33,65
2018-01-31;33,71
2018-02-28;34,11
2018-03-31;34,38
2018-04-30;34,65
2018-05-31;34,91
2018-06-30;35,19
2018-07-31;35,46
2018-08-31;35,77
2018-09-30;36,00
2018-10-31;36,34
2018-11-30;36,62
2018-12-31;36,88
2019-01-31;43,93
2019-02-28;44,20
2019-03-31;44,45
2019-04-30;44,74
2019-05-31;45,00
2019-06-30;45,35
2019-07-31;45,81
2019-08-31;46,80
2019-09-30;46,95
2019-10-31;47,30
2019-11-30;47,69
2019-12-31;47,90
2020-01-31;47,92
2020-02-29;48,22
2020-03-31;48,33
2020-04-30;48,88
2020-05-31;49,45
2020-06-30;50,07
2020-07-31;50,65
2020-08-31;51,06
2020-09-30;51,52
2020-10-31;52,02
2020-11-30;52,62
2020-12-31;53,34
2021-01-31;53,74
2021-02-28;54,25
2021-03-31;54,95
2021-04-30;55,60
2021-05-31;56,37
2021-06-30;57,11
2021-07-31;58,04
2021-08-31;59,00
2021-09-30;60,06
2021-10-31;61,09
2021-11-30;62,04
2021-12-31;63,22
2022-01-31;64,77
2022-02-28;65,83
2022-03-31;66,97
2022-04-30;68,02
2022-05-31;69,30
2022-06-30;70,68
2022-07-31;72,13
2022-08-31;73,62
2022-09-30;75,91
2022-10-31;76,31
2022-11-30;77,66
2022-12-31;78,96
2023-01-31;80,00
2023-02-28;80,95
2023-03-31;82,18
2023-04-30;83,20
2023-05-31;84,71
2023-06-30;85,33
2023-07-31;86,38
2023-08-31;87,47
2023-09-30;88,49
2023-10-31;89,44
2023-11-30;90,28
2023-12-31;91,15
2024-01-31;92,02
2024-02-29;92,80
2024-03-31;93,68
2024-04-30;94,53
2024-05-31;95,45
2024-06-30;96,33
2024-07-31;97,29
2024-08-31;98,42
2024-09-30;99,54
2024-10-31;100,75
2024-11-30;101,76
2024-12-31;101,20
2025-01-31;103,61
2025-02-28;104,58
2025-03-31;105,58
2025-04-30;106,60
2025-05-31;107,64
2025-06-30;108,75
2025-07-31;109,83
