data;concessoes_crédito_milhoes;taxa_media_mensal_operacoes_credito
01/03/2011;215654;2,04
01/04/2011;203722;2,07
01/05/2011;227829;2,07
01/06/2011;229876;2,05
01/07/2011;222347;2,07
01/08/2011;249440;2,03
01/09/2011;233041;2,03
01/10/2011;222498;2,04
01/11/2011;241472;1,99
01/12/2011;269534;1,93
01/01/2012;214365;2
01/02/2012;204149;2
01/03/2012;241689;1,98
01/04/2012;232678;1,94
01/05/2012;255850;1,83
01/06/2012;244247;1,78
01/07/2012;242241;1,74
01/08/2012;254479;1,71
01/09/2012;235073;1,69
01/10/2012;272112;1,65
01/11/2012;255426;1,63
01/12/2012;291095;1,56
01/01/2013;239834;1,59
01/02/2013;226768;1,61
01/03/2013;253830;1,6
01/04/2013;269990;1,59
01/05/2013;285961;1,57
01/06/2013;278819;1,59
01/07/2013;266075;1,62
01/08/2013;272139;1,63
01/09/2013;268855;1,64
01/10/2013;283201;1,67
01/11/2013;272926;1,69
01/12/2013;324165;1,66
01/01/2014;258890;1,73
01/02/2014;261076;1,77
01/03/2014;269914;1,78
01/04/2014;274446;1,77
01/05/2014;281894;1,78
01/06/2014;285440;1,77
01/07/2014;273713;1,79
01/08/2014;271693;1,78
01/09/2014;295760;1,76
01/10/2014;295130;1,79
01/11/2014;275246;1,8
01/12/2014;336989;1,77
01/01/2015;258635;1,85
01/02/2015;229875;1,9
01/03/2015;291275;1,91
01/04/2015;270008;1,95
01/05/2015;268569;1,99
01/06/2015;288714;2,03
01/07/2015;270957;2,08
01/08/2015;260543;2,11
01/09/2015;275332;2,15
01/10/2015;261153;2,2
01/11/2015;267109;2,22
01/12/2015;312270;2,17
01/01/2016;221091;2,28
01/02/2016;226223;2,31
01/03/2016;260281;2,32
01/04/2016;239653;2,35
01/05/2016;254322;2,36
01/06/2016;267408;2,35
01/07/2016;234469;2,38
01/08/2016;251986;2,39
01/09/2016;247578;2,39
01/10/2016;241097;2,4
01/11/2016;256250;2,39
01/12/2016;289468;2,33
01/01/2017;232184;2,38
01/02/2017;207477;2,33
01/03/2017;274379;2,32
01/04/2017;227886;2,2
01/05/2017;260949;2,13
01/06/2017;278300;2,11
01/07/2017;240687;2,14
01/08/2017;266033;2,11
01/09/2017;251855;2
01/10/2017;264017;2,04
01/11/2017;271125;2
01/12/2017;305726;1,91
01/01/2018;255548;1,94
01/02/2018;244817;1,98
01/03/2018;281668;1,94
01/04/2018;280100;1,92
01/05/2018;283288;1,85
01/06/2018;292071;1,83
01/07/2018;278588;1,82
01/08/2018;310499;1,82
01/09/2018;277534;1,81
01/10/2018;303446;1,83
01/11/2018;308013;1,83
01/12/2018;340794;1,74
01/01/2019;284019;1,84
01/02/2019;284219;1,86
01/03/2019;297678;1,88
01/04/2019;304796;1,89
01/05/2019;329959;1,87
01/06/2019;318959;1,87
01/07/2019;328991;1,86
01/08/2019;332306;1,87
01/09/2019;339983;1,81
01/10/2019;350479;1,78
01/11/2019;347021;1,79
01/12/2019;404624;1,72
01/01/2020;321537;1,75
01/02/2020;307431;1,75
01/03/2020;395459;1,72
01/04/2020;296609;1,63
01/05/2020;285392;1,57
01/06/2020;320959;1,47
01/07/2020;343837;1,45
01/08/2020;346119;1,42
01/09/2020;368510;1,39
01/10/2020;352349;1,43
01/11/2020;377855;1,42
01/12/2020;400655;1,41
01/01/2021;295395;1,52
01/02/2021;313166;1,5
01/03/2021;406649;1,52
01/04/2021;378634;1,55
01/05/2021;401464;1,52
01/06/2021;426835;1,53
01/07/2021;418143;1,55
01/08/2021;437435;1,6
01/09/2021;451159;1,63
01/10/2021;432575;1,74
01/11/2021;464195;1,81
01/12/2021;505554;1,83
01/01/2022;411029;1,89
01/02/2022;402231;1,92
01/03/2022;516765;1,98
01/04/2022;462611;2,04
01/05/2022;507155;2,04
01/06/2022;507243;2,07
01/07/2022;490884;2,16
01/08/2022;544987;2,12
01/09/2022;532373;2,12
01/10/2022;504821;2,19
01/11/2022;513458;2,25
01/12/2022;557031;2,19
01/01/2023;474572;2,25
01/02/2023;429479;2,24
01/03/2023;537184;2,28
01/04/2023;445999;2,32
01/05/2023;516564;2,32
01/06/2023;526364;2,27
01/07/2023;500400;2,24
01/08/2023;557947;2,2
01/09/2023;548262;2,19
01/10/2023;542505;2,16
01/11/2023;553535;2,15
01/12/2023;598378;2,09
01/01/2024;534643;2,08
01/02/2024;506093;2,07
01/03/2024;569494;2,09
01/04/2024;568350;2,07
01/05/2024;575018;2,06
01/06/2024;593731;2,07
01/07/2024;619555;2,06
01/08/2024;626935;2,05
01/09/2024;639036;2,04
01/10/2024;649021;2,07
01/11/2024;620001;2,11
01/12/2024;694703;2,11
01/01/2025;588774;2,2
01/02/2025;587696;2,24
01/03/2025;619922;2,29
01/04/2025;644258;2,3
01/05/2025;648124;2,31
01/06/2025;641402;2,33
01/07/2025;646057;2,31
01/08/2025;633766;2,33
