data;ind_custo_credito
01/10/2015;21,15
01/11/2015;21,43
01/12/2015;21,15
01/01/2016;21,52
01/02/2016;21,87
01/03/2016;22,01
01/04/2016;22,22
01/05/2016;22,29
01/06/2016;22,45
01/07/2016;22,49
01/08/2016;22,58
01/09/2016;22,76
01/10/2016;22,91
01/11/2016;22,9
01/12/2016;22,56
01/01/2017;22,84
01/02/2017;22,98
01/03/2017;22,73
01/04/2017;22,46
01/05/2017;22,28
01/06/2017;22,07
01/07/2017;22,07
01/08/2017;21,94
01/09/2017;21,65
01/10/2017;21,74
01/11/2017;21,68
01/12/2017;21,15
01/01/2018;21,33
01/02/2018;21,51
01/03/2018;21,3
01/04/2018;21,28
01/05/2018;21
01/06/2018;20,94
01/07/2018;20,78
01/08/2018;20,65
01/09/2018;20,63
01/10/2018;20,74
01/11/2018;20,76
01/12/2018;20,38
01/01/2019;20,7
01/02/2019;20,91
01/03/2019;20,89
01/04/2019;21,11
01/05/2019;21,09
01/06/2019;21,22
01/07/2019;21,19
01/08/2019;21,12
01/09/2019;20,97
01/10/2019;20,88
01/11/2019;20,73
01/12/2019;20,25
01/01/2020;20,13
01/02/2020;20,24
01/03/2020;19,96
01/04/2020;19,68
01/05/2020;19,09
01/06/2020;18,53
01/07/2020;18,12
01/08/2020;17,72
01/09/2020;17,3
01/10/2020;17,15
01/11/2020;16,97
01/12/2020;16,62
01/01/2021;16,89
01/02/2021;17,05
01/03/2021;16,97
01/04/2021;17,04
01/05/2021;17,07
01/06/2021;17,15
01/07/2021;17,16
01/08/2021;17,32
01/09/2021;17,51
01/10/2021;17,82
01/11/2021;18,11
01/12/2021;18,19
01/01/2022;18,81
01/02/2022;19,23
01/03/2022;19,33
01/04/2022;19,77
01/05/2022;20
01/06/2022;20,28
01/07/2022;20,64
01/08/2022;20,83
01/09/2022;21,07
01/10/2022;21,39
01/11/2022;21,43
01/12/2022;21,32
01/01/2023;21,73
01/02/2023;22,03
01/03/2023;22
01/04/2023;22,31
01/05/2023;22,37
01/06/2023;22,25
01/07/2023;22,18
01/08/2023;22,2
01/09/2023;22,09
01/10/2023;22,03
01/11/2023;21,96
01/12/2023;21,62
01/01/2024;21,85
01/02/2024;21,89
01/03/2024;21,89
01/04/2024;21,91
01/05/2024;21,74
01/06/2024;21,75
01/07/2024;21,7
01/08/2024;21,7
01/09/2024;21,75
01/10/2024;21,66
01/11/2024;21,68
01/12/2024;21,5
01/01/2025;22,03
01/02/2025;22,32
01/03/2025;22,58
01/04/2025;22,88
01/05/2025;22,96
01/06/2025;23,13
01/07/2025;23,19
01/08/2025;23,4
