data;uf;preco_feijao
01/01/2020;PR;156.86
01/02/2020;PR;170.28
01/03/2020;PR;214.43
01/04/2020;PR;267.51
01/05/2020;PR;299.02
01/06/2020;PR;245.42
01/07/2020;PR;189.07
01/08/2020;PR;191.17
01/09/2020;PR;243.68
01/10/2020;PR;256.14
01/11/2020;PR;272.5
01/12/2020;PR;275.55
01/01/2021;PR;260.34
01/02/2021;PR;273.88
01/03/2021;PR;272.83
01/04/2021;PR;258.82
01/05/2021;PR;263.92
01/06/2021;PR;246.45
01/07/2021;PR;242.81
01/08/2021;PR;273.25
01/09/2021;PR;271.45
01/10/2021;PR;252.53
01/11/2021;PR;242.3
01/12/2021;PR;233.71
01/01/2022;PR;273.58
01/02/2022;PR;273.52
01/03/2022;PR;313.98
01/04/2022;PR;323.7
01/05/2022;PR;364.71
01/06/2022;PR;291.07
01/07/2022;PR;251.37
01/08/2022;PR;264.84
01/09/2022;PR;267.28
01/10/2022;PR;276.34
01/11/2022;PR;320.91
01/12/2022;PR;361.15
01/01/2023;PR;360.24
01/02/2023;PR;344.35
01/03/2023;PR;388.68
01/04/2023;PR;371.03
01/05/2023;PR;273.89
01/06/2023;PR;244.82
01/07/2023;PR;182.33
01/08/2023;PR;188.1
01/09/2023;PR;191.93
01/10/2023;PR;217.78
01/11/2023;PR;257.44
01/12/2023;PR;287.64
01/01/2024;PR;320.12
01/02/2024;PR;317.43
01/03/2024;PR;249.7
01/04/2024;PR;218.09
01/05/2024;PR;190.61
01/06/2024;PR;213.15
01/07/2024;PR;215.83
01/08/2024;PR;191.48
01/09/2024;PR;208.35
01/10/2024;PR;202.17
01/11/2024;PR;224.82
01/12/2024;PR;191.15
01/01/2025;PR;187.49
01/02/2025;PR;193.36
01/03/2025;PR;210.14
01/04/2025;PR;227.62
01/05/2025;PR;228.3
01/06/2025;PR;199.86
01/07/2025;PR;175.29
01/08/2025;PR;181.34
